C:\Users\Luke Lunn\MMP\MAUML-master\MAUML-code\practice set for python.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,1525,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rwrist,,,,,,,,,,,Relbow,,,,,,,,,,,Rshoulder,,,,,,,,,,
Frame#,Time(s),X1,Y1,Z1,vX1,vY1,vZ1,vR1,aX1,aY1,aZ1,aR1,X2,Y2,Z2,vX2,vY2,vZ2,vR2,aX2,aY2,aZ2,aR2,X3,Y3,Z3,vX3,vY3,vZ3,vR3,aX3,aY3,aZ3,aR3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
